"Member_number";"Date";"Day_in_week";"Day";"Month";"Year";"Product_1";"Product_2";"Product_3";"Product_4";"Product_5";"Product_6";"Product_7";"Product_8";"Product_9";"Product_10";"Product_11"
1249;2014-01-01 00:00:00;4.0;"01";"01";"2014";"citrus fruit";"coffee";;;;;;;;;
1381;2014-01-01 00:00:00;4.0;"01";"01";"2014";"curd";"soda";;;;;;;;;
1440;2014-01-01 00:00:00;4.0;"01";"01";"2014";"other vegetables";"yogurt";;;;;;;;;
1659;2014-01-01 00:00:00;4.0;"01";"01";"2014";"specialty chocolate";"frozen vegetables";;;;;;;;;
1789;2014-01-01 00:00:00;4.0;"01";"01";"2014";"hamburger meat";"candles";;;;;;;;;
1922;2014-01-01 00:00:00;4.0;"01";"01";"2014";"tropical fruit";"other vegetables";;;;;;;;;
2226;2014-01-01 00:00:00;4.0;"01";"01";"2014";"sausage";"bottled water";;;;;;;;;
2237;2014-01-01 00:00:00;4.0;"01";"01";"2014";"bottled water";"Instant food products";;;;;;;;;
2351;2014-01-01 00:00:00;4.0;"01";"01";"2014";"cleaner";"shopping bags";;;;;;;;;
2542;2014-01-01 00:00:00;4.0;"01";"01";"2014";"sliced cheese";"bottled water";;;;;;;;;
2610;2014-01-01 00:00:00;4.0;"01";"01";"2014";"hamburger meat";"bottled beer";"domestic eggs";;;;;;;;
2709;2014-01-01 00:00:00;4.0;"01";"01";"2014";"yogurt";"frozen vegetables";;;;;;;;;
2727;2014-01-01 00:00:00;4.0;"01";"01";"2014";"hamburger meat";"frozen potato products";;;;;;;;;
2943;2014-01-01 00:00:00;4.0;"01";"01";"2014";"whole milk";"flower (seeds)";;;;;;;;;
2974;2014-01-01 00:00:00;4.0;"01";"01";"2014";"berries";"whipped/sour cream";"bottled water";;;;;;;;
3681;2014-01-01 00:00:00;4.0;"01";"01";"2014";"onions";"whipped/sour cream";"dishes";;;;;;;;
3797;2014-01-01 00:00:00;4.0;"01";"01";"2014";"waffles";"whole milk";;;;;;;;;
3942;2014-01-01 00:00:00;4.0;"01";"01";"2014";"other vegetables";"yogurt";"Instant food products";;;;;;;;
3956;2014-01-01 00:00:00;4.0;"01";"01";"2014";"yogurt";"shopping bags";"waffles";"chocolate";;;;;;;
4260;2014-01-01 00:00:00;4.0;"01";"01";"2014";"soda";"brown bread";;;;;;;;;
4942;2014-01-01 00:00:00;4.0;"01";"01";"2014";"butter";"frozen vegetables";;;;;;;;;
1220;2015-01-01 00:00:00;5.0;"01";"01";"2015";"canned beer";"margarine";"chocolate";;;;;;;;
1235;2015-01-01 00:00:00;5.0;"01";"01";"2015";"sausage";"sausage";"bottled beer";"spread cheese";;;;;;;
1422;2015-01-01 00:00:00;5.0;"01";"01";"2015";"tropical fruit";"turkey";"salty snack";;;;;;;;
1798;2015-01-01 00:00:00;5.0;"01";"01";"2015";"beef";"pastry";"curd";;;;;;;;
2127;2015-01-01 00:00:00;5.0;"01";"01";"2015";"pork";"pickled vegetables";;;;;;;;;
2211;2015-01-01 00:00:00;5.0;"01";"01";"2015";"butter";"pastry";;;;;;;;;
2641;2015-01-01 00:00:00;5.0;"01";"01";"2015";"frozen meals";"other vegetables";;;;;;;;;
2768;2015-01-01 00:00:00;5.0;"01";"01";"2015";"tropical fruit";"meat";"pip fruit";"salt";"pot plants";;;;;;
2851;2015-01-01 00:00:00;5.0;"01";"01";"2015";"whole milk";"white bread";"canned beer";"brown bread";"fruit/vegetable juice";;;;;;
3026;2015-01-01 00:00:00;5.0;"01";"01";"2015";"citrus fruit";"tropical fruit";"soda";"bottled water";;;;;;;
3240;2015-01-01 00:00:00;5.0;"01";"01";"2015";"citrus fruit";"whole milk";;;;;;;;;
3751;2015-01-01 00:00:00;5.0;"01";"01";"2015";"frankfurter";"whipped/sour cream";"citrus fruit";"whole milk";"dishes";;;;;;
4104;2015-01-01 00:00:00;5.0;"01";"01";"2015";"dessert";"soda";;;;;;;;;
4439;2015-01-01 00:00:00;5.0;"01";"01";"2015";"butter";"tropical fruit";;;;;;;;;
4537;2015-01-01 00:00:00;5.0;"01";"01";"2015";"ham";"brown bread";;;;;;;;;
4616;2015-01-01 00:00:00;5.0;"01";"01";"2015";"canned beer";"hamburger meat";;;;;;;;;
1066;2014-02-01 00:00:00;7.0;"01";"02";"2014";"root vegetables";"bottled beer";;;;;;;;;
1248;2014-02-01 00:00:00;7.0;"01";"02";"2014";"chicken";"butter";;;;;;;;;
1265;2014-02-01 00:00:00;7.0;"01";"02";"2014";"other vegetables";"whole milk";"soda";;;;;;;;
1365;2014-02-01 00:00:00;7.0;"01";"02";"2014";"frozen vegetables";"specialty bar";;;;;;;;;
