;Category
Adjustment;Other
Afternoon with the baker;Other
Alfajores;Sweet
Argentina Night;Other
Art Tray;Other
Bacon;Savoury
Baguette;Plain
Bakewell;Sweet
Bare Popcorn;Plain
Basket;Other
Bowl Nic Pitt;Savoury
Bread;Plain
Bread Pudding;Sweet
Brioche and salami;Savoury
Brownie;Sweet
Cake;Sweet
Caramel bites;Sweet
Cherry me Dried fruit;Sweet
Chicken sand;Savoury
Chicken Stew;Savoury
Chimichurri Oil;Savoury
Chocolates;Sweet
Christmas common;Sweet
Coffee;Hot Drink
Coffee granules ;Other
Coke;Cold Drink
Cookies;Sweet
Crepes;Sweet
Crisps;Savoury
Drinking chocolate spoons ;Sweet
Duck egg;Savoury
Dulce de Leche;Sweet
Eggs;Savoury
Ella's Kitchen Pouches;Other
Empanadas;Savoury
Extra Salami or Feta;Savoury
Fairy Doors;Sweet
Farm House;Sweet
Focaccia;Savoury
Frittata;Savoury
Fudge;Sweet
Gift voucher;Other
Gingerbread syrup;Sweet
Granola;Sweet
Hack the stack;Sweet
Half slice Monster ;Sweet
Hearty & Seasonal;Savoury
Honey;Sweet
Hot chocolate;Hot Drink
Jam;Sweet
Jammie Dodgers;Sweet
Juice;Cold Drink
Keeping It Local;Other
Kids biscuit;Sweet
Lemon and coconut;Sweet
Medialuna;Sweet
Mighty Protein;Savoury
Mineral water;Cold Drink
Mortimer;Sweet
Muesli;Sweet
Muffin;Sweet
My-5 Fruit Shoot;Cold Drink
Nomad bag;Plain
Olum & polenta;Savoury
Panatone;Sweet
Pastry;Sweet
Pick and Mix Bowls;Savoury
Pintxos;Savoury
Polenta;Savoury
Postcard;Other
Raspberry shortbread sandwich;Sweet
Raw bars;Plain
Salad;Savoury
Sandwich;Savoury
Scandinavian;Savoury
Scone;Sweet
Siblings;Sweet
Smoothies;Cold Drink
Soup;Savoury
Spanish Brunch;Savoury
Spread;Sweet
Tacos/Fajita;Savoury
Tartine;Savoury
Tea;Hot Drink
The BART;Other
The Nomad;Other
Tiffin;Other
Toast;Plain
Truffles;Sweet
Tshirt;Other
Valentine's card;Other
Vegan Feast;Savoury
Vegan mincepie;Savoury
Victorian Sponge;Sweet
